,ID,DueDate,Type,Points,Submitted,Class,Title,url,UserOverride
14673231,14673231,1676714399000,T,0.0,False,2118316,Top hat in-text questions,/courses/2118316/assignments/14673231,
3837530,3837530,1676883600000,T,1.0,False,2143487,Week 6 - Wellness Journal,/courses/2143487/quizzes/3837530,
3875964,3875964,1676887140000,T,8.0,True,2118316,Week 6 Quiz: Efficiency and Equity,/courses/2118316/quizzes/3875964,
12547179,12547179,1676921905000,A,,,2143487,Assignments have been graded,/courses/2143487/discussion_topics/12547179,
12547760,12547760,1676928905000,A,,,2124225,Upcoming Concerts,/courses/2124225/discussion_topics/12547760,
14370378,14370378,1676934000000,T,3.0,True,2119883,Reading Response 5,/courses/2119883/assignments/14370378/submissions/6677198,
14455485,14455485,1677106800000,T,10.0,True,2124225,"Chapter 34 Tutorial: LG 23 Wolfgang Amadeus Mozart: Piano Concerto in G Major, K. 453, I",/courses/2124225/assignments/14455485/submissions/6677198,
14633272,14633272,1676973599000,T,100.0,True,2115470,Informative Team Presentation,/courses/2115470/assignments/14633272/submissions/6677198,
14679660,14679660,1677059999000,T,3.0,True,2119883,Project Statement (resubmitted after instructor feedback),/courses/2119883/assignments/14679660/submissions/6677198,
12405977,12405977,1677146399000,T,2.0,True,2143487,Week 7 | Reading Discussion,/courses/2143487/assignments/14506266/submissions/6677198,
14455634,14455634,1677112320000,T,5.0,False,2124225,Participation #13,/courses/2124225/assignments/14455634,
14455487,14455487,1677106800000,T,10.0,True,2124225,"Chapter 35 Tutorial: LG 24 Beethoven: Piano Sonata in C-sharp Minor, Op. 27, No. 2 (Moonlight), I",/courses/2124225/assignments/14455487/submissions/6677198,
14455489,14455489,1677106800000,T,10.0,True,2124225,"Chapter 36 Tutorial: LG 25 Beethoven: Symphony No. 5 in C Minor, Op. 67, I",/courses/2124225/assignments/14455489/submissions/6677198,
14455490,14455490,1677106800000,T,10.0,True,2124225,"Chapter 36 Tutorial: LG 25 Beethoven: Symphony No. 5 in C Minor, Op. 67, II",/courses/2124225/assignments/14455490/submissions/6677198,
14455491,14455491,1677106800000,T,10.0,True,2124225,"Chapter 36 Tutorial: LG 25 Beethoven: Symphony No. 5 in C Minor, Op. 67, III and IV",/courses/2124225/assignments/14455491/submissions/6677198,
12547171,12547171,1677110400000,T,3.0,True,2119883,Media Activity - Environmental conservation - 2/22/2023,/courses/2119883/assignments/14682315/submissions/6677198,
10448831,10448831,1677319199000,A,,,2143487,Week 7 - Yoga Practice,/courses/2143487/pages/week-7-yoga-practice,
14682335,14682335,1677319199000,T,0.0,False,2118316,Top hat in-text questions,/courses/2118316/assignments/14682335,
3837525,3837525,1677491999000,T,1.0,False,2143487,Week 7 | Wellness Journal,/courses/2143487/quizzes/3837525,
14506306,14506306,1677491999000,T,5.0,True,2143487,Assignment 2 - Creating your Sequence,/courses/2143487/assignments/14506306/submissions/6677198,
14455636,14455636,1677544200000,T,5.0,False,2124225,Participation #14,/courses/2124225/assignments/14455636,
14673230,14673230,1677578399000,T,6.0,False,2118316,Packback Q & A 2,/courses/2118316/assignments/14673230,
14455638,14455638,1677711300000,T,5.0,False,2124225,Participation #15,/courses/2124225/assignments/14455638,
14455497,14455497,1677711600000,T,10.0,False,2124225,Chapter 39 Tutorial: LG 28 Franz Schubert: Elf-King (Erlkönig),/courses/2124225/assignments/14455497,
14455498,14455498,1677711600000,T,10.0,False,2124225,"Chapter 39 Tutorial: LG 29 Robert Schumann: In the Lovely Month of May, from A Poet's Love (Dichterliebe)",/courses/2124225/assignments/14455498,
14455505,14455505,1677711600000,T,10.0,False,2124225,"Chapter 41 Tutorial: LG 31 Chopin: Étude, Op. 10, No. 12 (Revolutionary)",/courses/2124225/assignments/14455505,
14455507,14455507,1677711600000,T,10.0,False,2124225,"Chapter 42 Tutorial: LG 32 Fanny Mendelssohn Hensel: September: At the River, from The Year",/courses/2124225/assignments/14455507,
14455536,14455536,1677711600000,T,10.0,False,2124225,"Chapter 53 Tutorial: LG 44 Spiritual (Burleigh arr.): Swing Low, Sweet Chariot",/courses/2124225/assignments/14455536,
14455537,14455537,1677711600000,T,10.0,False,2124225,"Chapter 53 Tutorial: LG 44 Spiritual (Fisk arr.): Swing Low, Sweet Chariot",/courses/2124225/assignments/14455537,
14455539,14455539,1677711600000,T,10.0,False,2124225,Chapter 54 Tutorial: LG 45 Joplin: Maple Leaf Rag,/courses/2124225/assignments/14455539,
12405978,12405978,1677751199000,T,2.0,False,2143487,Week 8 | Reading Discussion,/courses/2143487/discussion_topics/12405978,
10448848,10448848,1677923999000,A,,,2143487,Week 8 - Yoga Practice,/courses/2143487/pages/week-8-yoga-practice,
14370382,14370382,1677923999000,T,7.0,False,2119883,Project Report,/courses/2119883/assignments/14370382,
3837523,3837523,1678096799000,T,2.0,False,2143487,Week 8 | Wellness Journal,/courses/2143487/quizzes/3837523,
14455639,14455639,1678138200000,T,5.0,False,2124225,Participation #16,/courses/2124225/assignments/14455639,
12384251,12384251,1678143600000,T,20.0,False,2124225,Romantic Virtuosity,/courses/2124225/discussion_topics/12384251,
14455641,14455641,1678311000000,T,5.0,False,2124225,Participation #17 - Romantic instrumental music,/courses/2124225/assignments/14455641,
14455509,14455509,1678316400000,T,10.0,False,2124225,"Chapter 43 Tutorial: LG 33 Hector Berlioz: Symphonie fantastique, IV",/courses/2124225/assignments/14455509,
14455510,14455510,1678316400000,T,10.0,False,2124225,"Chapter 43 Tutorial: LG 33 Hector Berlioz: Symphonie fantastique, V",/courses/2124225/assignments/14455510,
14455512,14455512,1678316400000,T,10.0,False,2124225,Chapter 44 Tutorial: LG 34 Felix Mendelssohn: Overture to A Midsummer Night's Dream,/courses/2124225/assignments/14455512,
14455513,14455513,1678316400000,T,10.0,False,2124225,"Chapter 44 Tutorial: LG 35 Grieg: In the Hall of the Mountain King from Peer Gynt, Suite No. 1 (Op. 46)",/courses/2124225/assignments/14455513,
14455514,14455514,1678316400000,T,10.0,False,2124225,"Chapter 44 Tutorial: LG 35 Grieg: Morning Mood from Peer Gynt, Suite No. 1 (Op. 46)",/courses/2124225/assignments/14455514,
12405971,12405971,1678355940000,T,2.0,False,2143487,Week 9 | Reading Discussion,/courses/2143487/discussion_topics/12405971,
10448846,10448846,1678528799000,A,,,2143487,Week 9 - Yoga Practice,/courses/2143487/pages/week-9-yoga-practice,
3837524,3837524,1678694399000,T,1.0,False,2143487,Week 9 | Wellness Journal ,/courses/2143487/quizzes/3837524,
14455642,14455642,1679340600000,T,5.0,False,2124225,Participation #18 - Nationalism,/courses/2124225/assignments/14455642,
12384250,12384250,1679385540000,T,20.0,False,2124225,Berlioz and the Narrative Symphony (Review),/courses/2124225/discussion_topics/12384250,
14455656,14455656,1679512500000,T,5.0,False,2124225,Participation #19,/courses/2124225/assignments/14455656,
14455518,14455518,1679518800000,T,10.0,False,2124225,"Chapter 46 Tutorial: LG 37 Giuseppi Verdi: Rigoletto, Act III, excerpts",/courses/2124225/assignments/14455518,
14455530,14455530,1679518800000,T,10.0,False,2124225,"Chapter 50 Tutorial: LG 41 Puccini: Madame Butterfly, ""Un bel dì""",/courses/2124225/assignments/14455530,
12405979,12405979,1679558399000,T,2.0,False,2143487,Week 10 | Reading Discussion,/courses/2143487/discussion_topics/12405979,
10448832,10448832,1679731140000,A,,,2143487,Week 10- Yoga Practice,/courses/2143487/pages/week-10-yoga-practice,
12554046,12554046,1677110118000,A,,,2119883,Media activity today,/courses/2119883/discussion_topics/12554046,
